timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,adaptive_alert,fixed_alert,score,threshold,error
1772861853.631935,e4af1cd7406a32d5b5682b6c,/score,200,176.7909,normal,0,1,1,0.978727,0.880000,
1772861853.632172,d6eb98ff356669c314877bd5,/predict,200,176.7913,normal,0,1,1,0.979074,0.880000,
1772861853.689884,336dbee509c1d804640ca620,/predict,200,176.5423,normal,0,0,0,0.432001,0.880000,
1772861853.807555,aac4165fbbfa0b0006748e35,/detect_drift,200,176.4551,normal,0,0,0,0.432001,0.880000,
1772861853.807777,710975df2669e61196558980,/detect_drift,200,176.0548,normal,0,0,0,0.432001,0.880000,
1772861853.807984,07b55a0bd163a0a433fd1143,/score,200,176.0385,normal,0,1,1,0.966382,0.880000,
1772861853.808329,068a81abbaf16bb9ecca12fa,/predict,200,176.1461,normal,0,0,0,0.432001,0.880000,
1772861853.866659,170df3856a2e90e0a937ad9e,/score,200,176.7572,normal,0,0,0,0.432001,0.880000,
1772861853.985391,48361d3aacbc1907feb2372e,/detect_drift,200,177.8125,normal,0,1,1,0.964165,0.880000,
1772861853.985621,1772acdb63f80eaaf8e24434,/score,200,177.8329,normal,0,0,0,0.432001,0.880000,
1772861853.985813,f81dbeac6cb53a6c8c9cfa71,/predict,200,177.8193,normal,0,0,0,0.432001,0.880000,
1772861853.986179,000bb4650067ef62b5bc1331,/predict,200,177.8402,normal,0,1,1,0.968759,0.880000,
1772861854.044702,599d632411ed7103c4edb432,/predict,200,178.0130,normal,0,1,1,0.965934,0.880000,
1772861854.163680,5ae7afc1f75dfb20c9fa4361,/predict,200,178.2649,normal,0,1,1,0.967881,0.880000,
1772861854.163892,b6846900aecd21b6299b79ea,/predict,200,178.2598,normal,0,1,1,0.962777,0.880000,
1772861854.164077,0f43f2ff6c979c0fbc2c983f,/predict,200,178.2539,normal,0,0,0,0.432001,0.880000,
1772861854.164429,24711768ee321f12f66c09b9,/detect_drift,200,178.2400,normal,0,0,0,0.432001,0.880000,
1772861854.222985,de5bc678ac5b57eef1238b32,/predict,200,178.2631,normal,0,0,0,0.432001,0.880000,
1772861854.343207,bb57de687169772eb692cc55,/score,200,179.5065,normal,0,0,0,0.432001,0.880000,
1772861854.343475,125da1cf0fa2a996af8ad410,/score,200,179.5729,normal,0,1,1,0.984546,0.880000,
1772861854.343705,ea578a47a8d8d5dbfba50a24,/predict,200,179.6178,normal,0,1,1,0.978533,0.880000,
1772861854.344074,2daf4cace13395ae6d8944e7,/predict,200,179.6352,normal,0,0,0,0.432001,0.880000,
1772861854.403071,3ec1f88bec845a377d215aff,/predict,200,180.0669,normal,0,0,0,0.432001,0.880000,
1772861854.523514,9740835fee38129b5d447aa1,/score,200,180.2855,normal,0,0,0,0.432001,0.880000,
1772861854.523742,33976ab9e0741a622f958e05,/score,200,180.2517,normal,0,1,1,0.965037,0.880000,
