timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,adaptive_alert,fixed_alert,score,threshold,error
1772862988.425520,3637438c6e2e4f5b79bd9ad1,/predict,200,6.4146,normal,0,0,0,0,0.000000,0.000000,
1772862988.426193,b1aa6ee8c8f8deb27f132596,/predict,200,5.8625,normal,0,0,0,0,0.000000,0.000000,
1772862988.427404,174897bdfa7617db4f2db35e,/detect_drift,200,2.6320,normal,0,0,0,0,0.984275,0.880000,
1772862988.432311,8eb8d4396bfd392cefac5638,/predict,200,6.1064,normal,0,0,0,0,0.000000,0.000000,
1772862988.432493,6a1838047d6db45d879cbe01,/predict,200,7.5658,normal,0,0,0,0,0.000000,0.000000,
1772862988.432804,9c37a1a68c4586f5430290b3,/detect_drift,200,7.4876,normal,0,0,0,0,0.991735,0.880000,
1772862988.433208,8796efde37387d8d4120da3e,/predict,200,7.6790,normal,0,0,0,0,0.000000,0.000000,
1772862988.433816,f7019bf0854aaf182ec74e36,/score,200,6.3993,normal,0,0,0,0,0.000000,0.000000,
1772862988.434799,b53b772ff2b779236782958c,/predict,200,2.4737,normal,0,0,0,0,0.000000,0.000000,
1772862988.439707,1ce66bf2be44df01a9e49d7e,/score,200,5.8812,normal,0,0,0,0,0.000000,0.000000,
1772862988.439888,a560ff1b865f52648e0edfd7,/score,200,7.3850,normal,0,0,0,0,0.000000,0.000000,
1772862988.440062,257e83ec0b346dda040e84cd,/detect_drift,200,6.8425,normal,0,0,0,0,0.990200,0.880000,
1772862988.440250,1280cbe2353e3bbb536fb0ef,/detect_drift,200,7.4360,normal,0,0,0,0,0.951276,0.880000,
1772862988.440816,50090fc45fc46e7739ff5685,/detect_drift,200,6.0080,normal,0,0,0,0,0.402477,0.880000,
1772862988.442282,3d90d672fd0804d919a4d947,/score,200,2.5641,normal,0,0,0,0,0.000000,0.000000,
1772862988.447048,fbc182bd6557e9cd74c91297,/detect_drift,200,6.2215,normal,0,0,0,0,0.402477,0.880000,
1772862988.447222,cfcf90a4433ac16054624bcd,/score,200,7.3237,normal,0,0,0,0,0.000000,0.000000,
1772862988.447411,155da36ee16c9311db0980ca,/predict,200,7.3400,normal,0,0,0,0,0.000000,0.000000,
1772862988.447616,92b4c9394b4c8f10c5ef099c,/predict,200,7.3565,normal,0,0,0,0,0.000000,0.000000,
1772862988.448484,6908edbc2b284387effb23f3,/score,200,6.1926,normal,0,0,0,0,0.000000,0.000000,
1772862988.449607,df85ab367ffb5d932936e233,/score,200,2.5483,normal,0,0,0,0,0.000000,0.000000,
1772862988.454415,fa86ec80c5be5dfa1b43f0bf,/detect_drift,200,5.9188,normal,0,0,0,0,0.421005,0.880000,
1772862988.454588,7846793675a49ec9c4177418,/score,200,7.3570,normal,0,0,0,0,0.000000,0.000000,
1772862988.454989,00ab9e01f70aa942c8dcb208,/score,200,7.5677,normal,0,0,0,0,0.000000,0.000000,
1772862988.455211,724393e34f53b540823454de,/score,200,7.5848,normal,0,0,0,0,0.000000,0.000000,
1772862988.455838,f1767f10c59ffa109a134246,/score,200,6.2218,normal,0,0,0,0,0.000000,0.000000,
1772862988.457010,6d57ef21155cf6b40ac4a4ba,/score,200,2.5849,normal,0,0,0,0,0.000000,0.000000,
1772862988.461855,13261606292f8cf163ea47c0,/predict,200,6.0077,normal,0,0,0,0,0.000000,0.000000,
1772862988.462007,2c5eb0b37648ea1e7c410dc4,/predict,200,7.4090,normal,0,0,0,0,0.000000,0.000000,
1772862988.462191,94ca1f9bef483ca108d87210,/score,200,7.1927,normal,0,0,0,0,0.000000,0.000000,
1772862988.462396,7755e5ca0bcc173f74cfcc7a,/score,200,7.1759,normal,0,0,0,0,0.000000,0.000000,
1772862988.463043,56109a273b74460bbd800927,/predict,200,6.0227,normal,0,0,0,0,0.000000,0.000000,
1772862988.464111,1f35b83a4a35baae5604f3fb,/score,200,2.2461,normal,0,0,0,0,0.000000,0.000000,
1772862988.469127,9d83cf0bdb05c82306da5e37,/score,200,6.0751,normal,0,0,0,0,0.000000,0.000000,
1772862988.469327,a17180e657f6fae49456cbc8,/score,200,7.3111,normal,0,0,0,0,0.000000,0.000000,
1772862988.469738,acb4451df7ea0eb3c0c21492,/score,200,7.5374,normal,0,0,0,0,0.000000,0.000000,
1772862988.469971,33bb34a45fa755888a70b8b7,/predict,200,7.5663,normal,0,0,0,0,0.000000,0.000000,
1772862988.470649,ead2f3d94a9426bbe196f694,/score,200,6.5285,normal,0,0,0,0,0.000000,0.000000,
1772862988.471816,97658ab657f798a24efdbc3f,/predict,200,2.6724,normal,0,0,0,0,0.000000,0.000000,
1772862988.476797,b21eadf5b6a88f5616d7d5dd,/detect_drift,200,6.1384,normal,0,0,0,0,0.857602,0.880000,
1772862988.476974,ed30ec72914f902b2e8796a8,/detect_drift,200,7.6370,normal,0,0,0,0,0.844796,0.880000,
1772862988.477152,1cbdaee6893317bdbf7a0ab6,/predict,200,7.4043,normal,0,0,0,0,0.000000,0.000000,
1772862988.477383,c72920004666565e4a9edd5f,/detect_drift,200,7.3989,normal,0,0,0,0,0.594066,0.880000,
1772862988.478130,2e8e28dadd1150da6c7c39e5,/score,200,6.3046,normal,0,0,0,0,0.000000,0.000000,
1772862988.479233,eba1644858cb18e07955b980,/score,200,2.4264,normal,0,0,0,0,0.000000,0.000000,
1772862988.484233,150e9bacbaecd1ff35f12248,/predict,200,6.0923,normal,0,0,0,0,0.000000,0.000000,
1772862988.484396,3dbcc17f440a622756a3dae5,/detect_drift,200,7.4120,normal,0,0,0,0,0.479175,0.880000,
1772862988.484600,846d0495813480ca066206c7,/score,200,7.4381,normal,0,0,0,0,0.000000,0.000000,
1772862988.484837,0d42734ab22fe12bce4b02e6,/score,200,7.4448,normal,0,0,0,0,0.000000,0.000000,
1772862988.485528,79a431740f9e67ef7ea8cc39,/score,200,6.2848,normal,0,0,0,0,0.000000,0.000000,
1772862988.486592,be7bb603315b049ba4c3db56,/score,200,2.3485,normal,0,0,0,0,0.000000,0.000000,
1772862988.491574,05bd3c88fbf2e119f4b8bf72,/predict,200,6.0370,normal,0,0,0,0,0.000000,0.000000,
1772862988.491745,c691e5d790582928754dc371,/predict,200,7.3394,normal,0,0,0,0,0.000000,0.000000,
1772862988.491924,b12e1702c6b92d140f366200,/score,200,7.3151,normal,0,0,0,0,0.000000,0.000000,
1772862988.492132,78c44166dd41a07a8470c7e6,/score,200,7.2838,normal,0,0,0,0,0.000000,0.000000,
