timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,score,threshold,error
1772863373.444163,274ac5837966efa4d3cdce72,/score,200,6.1752,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.445655,726240383935d2808a933ea2,/detect_drift,200,2.6564,sudden_drift,1,0,0,0,0,0,0.992168,0.880000,
1772863373.450503,8eff8509e983498a690b0c8e,/score,200,6.3283,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.450662,606bc870dd0e45216bc594fa,/score,200,7.4803,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.451053,25f0a8b52d5d8d62c6af32a4,/detect_drift,200,7.6732,sudden_drift,1,0,0,0,0,0,0.996177,0.880000,
1772863373.451373,b616e5bb63b9b3ed61c174ec,/detect_drift,200,7.7564,sudden_drift,1,0,0,0,0,0,0.994792,0.880000,
1772863373.452006,3ff7b8b2a9bb0ed5693a0e3f,/score,200,6.3393,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.453233,11ae0e35bcd70d4aa22ce253,/score,200,2.7171,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.458253,cba6dea5ecd68c55a9f01d9f,/detect_drift,200,6.2345,sudden_drift,1,0,0,0,0,0,0.994610,0.880000,
1772863373.458413,bd3022e5aa6852cd15ee28b6,/detect_drift,200,7.7394,sudden_drift,1,0,0,0,0,0,0.995920,0.880000,
1772863373.458616,2c47b7f7923610de4e12dcb1,/score,200,7.5518,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.458831,fb17b37fe909585ee65fa557,/score,200,7.4445,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.459501,0e3795792b0d7b64fb2fde72,/score,200,6.2560,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.460610,d00464d231fedef231bf23f2,/detect_drift,200,2.3441,sudden_drift,1,0,0,0,0,0,0.994635,0.880000,
1772863373.465619,9005b18ba4019692827299c1,/score,200,6.1059,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.465804,ffbd82a818c8bdd8d1bc520f,/score,200,7.3800,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.465992,eb89b2cda320ff634322d9e3,/score,200,7.3642,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.466275,2818392818d9208a6082088c,/detect_drift,200,7.4317,sudden_drift,1,0,0,0,0,0,0.994526,0.880000,
1772863373.467228,d291de00ade928ebebcb9c4e,/score,200,6.6065,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.468352,7e20827e1c614bdaacb02c43,/predict,200,2.7204,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.473324,ce3867ebf9f1e946b59ef98f,/predict,200,7.0375,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.473515,2ff6d3f0d66004253d649980,/predict,200,7.7000,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.473927,6ac63ea62dfefd10f4cbc049,/score,200,7.9227,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.474164,1656b0bd6b34654df01ecbc9,/detect_drift,200,6.9157,sudden_drift,1,0,0,0,0,0,0.996546,0.880000,
1772863373.474972,92b4d55185688f5d5d6c1285,/score,200,6.6039,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
1772863373.476144,9f830ea4d73d2a39b7dc37d8,/score,200,2.8052,sudden_drift,1,0,0,0,0,0,10.393422,1.000000,
