timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,vote_ratio,psi_component,ks_component,prediction_component,score,threshold,error
1772864714.347599,959086a3c22a1a0a1cd9bd45,/predict,200,7.7116,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.348298,a57c319bd26a4edd887c9cd4,/predict,200,6.4309,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.349572,9bb526304ec00ae75e1e8d6d,/predict,200,2.5712,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.354467,1be03f8dac0c54a876325028,/score,200,6.1566,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.354649,f5e8bff802dc1f0362e5afda,/detect_drift,200,7.4599,sudden_drift,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.996339,0.880000,
1772864714.355076,30c28edcebe3c3ce86740676,/predict,200,7.6936,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.355300,c570792d90afcc62544d10cf,/score,200,7.6898,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.355924,bb38233b8ae21789af142064,/predict,200,6.3400,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.357212,ce41ea43595e628b3caf213e,/predict,200,2.7315,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.362420,b3db6dd5f48557731398f0d9,/score,200,6.4839,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.362599,e00018d6cf700cb59f6ab671,/score,200,7.9385,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
1772864714.362793,7cb6480b30622970e72f90f1,/score,200,7.7030,sudden_drift,1,0,0,0,0,0,0.875000,3.427424,1.932591,2.161654,7.521669,1.000000,
